src_ip,dst_ip,src_port,dst_port,protocol,packet_size,timestamp,traffic_volume,packet_flags,payload_content,connection_duration,geolocation_data,dns_request_pattern,user_info
158.215.70.195,85.23.187.183,38898,5297,TCP,1322,2023-10-25 10:42:28,7243,RST,Begin attack gun day than. Public on beat piece white gas open. Card force wish.,1042,Djibouti,Normal,lynchdebra
140.39.66.237,183.88.171.88,52264,42363,UDP,1431,2023-10-25 06:01:39,2086,RST,Child one once star girl shake serious. Tough organization daughter my brother child.,2343,Burundi,Failed,kimberlychavez
49.63.198.121,47.66.190.111,1333,51070,ICMP,1463,2023-10-24 21:51:26,8181,ACK,Old natural kitchen movement red level. Interest relate too feel open none.,1674,Papua New Guinea,Suspicious,estradanicholas
140.133.197.69,194.211.230.89,48341,35988,TCP,102,2023-10-24 16:48:48,3813,ACK,Strategy develop main gun evening language.,3354,Algeria,Normal,jongonzalez
178.102.191.63,32.215.125.45,26252,63621,TCP,858,2023-10-24 15:18:29,3526,ACK,Future hotel often energy. Article have southern despite. She history mean not ten ground.,3072,Guyana,Suspicious,debramason
108.164.139.156,207.208.7.86,49786,37084,UDP,877,2023-10-25 00:32:17,1782,FIN,Drop road receive. Meet network difficult direction cost off choice.,3544,Macao,Normal,douglasware
217.245.192.142,213.225.36.200,63042,48411,TCP,1044,2023-10-25 05:29:57,2522,FIN,Down only everyone thank drug night adult. For TV skill.,321,Pitcairn Islands,Normal,whitneybanks
102.66.98.75,167.137.247.237,44857,24922,UDP,1095,2023-10-25 09:03:14,1036,ACK,Everyone although Democrat beat. Result authority true.,1056,South Georgia and the South Sandwich Islands,Failed,ialexander
92.133.243.141,152.171.181.116,35717,25162,UDP,494,2023-10-24 15:39:07,7435,FIN,Fear according common able. Plant sport leave near. Every but cup provide ten garden grow.,2001,Montenegro,Normal,jennifermiller
43.183.54.176,210.40.121.51,3146,37781,ICMP,1294,2023-10-25 03:22:02,4203,SYN,Apply per institution your hotel direction. Professor plant especially price industry.,1123,Greenland,Failed,richdonald
174.190.155.128,89.16.121.25,33789,21058,ICMP,535,2023-10-25 01:54:26,5306,FIN,Different human provide. Wall pass foreign believe fact.,321,Albania,Failed,iporter
